ID,TYP,Q1_1,Q1_2,Q2K1_1_1,Q2K1_1_2,Q2K1_1_3,Q2K2_1,Q2K2_2,Q3,Q4A_1,Q4A_1_9999,Q4A_2,Q4A_2_9999,Q4A_3,Q4A_3_9999,Q4B_1_1,Q4B_2_1,Q4B_3_1,Q4C_1,Q4C_2,Q4C_3,Q5_1,Q5_2,Q5_3,Q5_4,Q5_5,Q6_1,Q6_2,Q6_3,Q6_4,Q6_5,Q6_6,Q6_7,Q7_1,Q7_2,Q7_3,Q7_4,Q7_5,Q7_6,Q7_7,Q8_1,Q8_2,Q8_3,Q8_4,Q8_5,Q8_6,Q8_7,Q8_8,Q8_9,Q9_1,Q9_2,Q9_3,Q9_4,Q9_5,Q9_6,Q9_7,Q9_8,Q9_9,Q10,Q11_1,Q11_2,Q11_3,Q12A_1,Q12A_2,Q12A_3,Q12A_4,Q12B_1,Q12B_2,Q12B_3,Q12B_4,Q13A_1,Q13A_2,Q13A_3,Q13A_4,Q13A_5,Q13B_1,Q13B_2,Q13B_3,Q13B_4,Q13B_5,Q14A_1,Q14A_2,Q14A_3,Q14A_4,Q14A_5,Q14B_1,Q14B_2,Q14B_3,Q14B_4,Q14B_5,Q15A_1,Q15A_2,Q15B_1,Q15B_2,Q16A_1,Q16A_2,Q16B_1,Q16B_2,Q17A_1,Q17A_2,Q17A_3,Q17A_4,Q17B_1,Q17B_2,Q17B_3,Q17B_4,Q18A_1,Q18A_2,Q18A_3,Q18A_4,Q18B_1,Q18B_2,Q18B_3,Q18B_4,Q19_1,Q19_2,Q19_3,Q19_4,Q19_5,Q20_1,Q20_2,Q20_3,Q20_4,Q20_5,Q20_6,Q20_7,Q20_8,Q20_9,Q20_10,Q21_1,Q21_2,Q21_3,Q21_4,Q22_1,Q22_2,Q22_3,Q22_4,Q23_1,Q23_2,Q23_3,Q23_4,Q23_5,Q23_6,Q23_7,Q23_8,Q24_1,Q24_2,Q24_3,Q24_4,Q24_5,Q25,Q26_1,Q26_2,Q26_3,Q26_4,Q26_5,Q26_6,Q26_7,Q26_8,Q26_9,Q26_10,Q26_11,Q26_12,Q27A_1_1,Q27A_2_1,Q27A_3_1,Q27A_4_1,Q27A_5_1,Q27A_6_1,Q27A_7_1,Q27A_8_1,Q27B_1,Q27B_2,Q27B_3,Q27B_4,Q27B_5,Q27B_6,Q27B_7,Q27B_8,Q27C_1,Q27C_2,Q27C_3,Q27C_4,Q27C_5,Q27C_6,Q27C_7,Q27C_8,사용빈도모두없음,Q28_1,Q28_2,Q28_3,Q28_4,Q28_5,Q28_6,Q28_7,Q28_9997,Q28_9997ET,Q29_1,Q29_2,Q29_3,Q29_4,Q29_5,Q29_6,Q29_7,Q29_8,Q29_9,Q29_10,Q30,Q31_1,Q31_2,Q31_3,Q31_4,ADQ1,ADQ2,ADQ3,ADQ3_1,ADQ3A,ADQ4,ADQ5,ADQ6,ADQ7,ADQ7_1,ADQ8,ADQ8_1,ADQ8A1,ADQ8A2,ADQ8A3,ADQ8A4,ADQ8A5,ADQ8A6,ADQ8A7,ADQ8A8,ADQ8A8_1,ADQ9,ADQ101,ADQ102,ADQ103,WT2
8947,7,2,2,1, , ,2,2,1,0, ,0, ,50000, , , , , , ,3,1,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,0,30,0,1,1,1,1,1,1,3,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,4,3,3,3,3,3,3,3,3,3,3,3,4,1,1,1,1,3,3,4,4,4,3,3,1,3,3,4,4,3,2,1,1,1,1,1,1,1,1,1,1,1,1, ,1, , , ,1, , , ,1, , , ,1, , ,1,3,3,3,3,3,3,3,1, , , , ,5,6, , , ,3,3,3,2,3,4,3,3,3,3,4,1, , , ,74,1,14, , ,2,1,1,3, ,2,2,1, , , , , , , , ,2,16,1,1,1.22222222222222
8957,7,2,2,1, , ,2,2,1, ,1, ,1, ,1, , , ,1,1,1,2,2,2,3,1,1,1,1,1,1,1,1,2,2,2,3,1,1,1,2,2,1,1,1,1,1,2,1,2,2,1,2,1,2,2,1,2,1,0,30,0,1,1,1,1,3,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,3,2,3,2,3,2,2,2,4,3,4,3,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,3,1,1, , ,1, , ,1, , , , ,2, , ,1, , ,1,3,3,1,1,1,1,1,1, ,2, , , , , , , ,4,3,3,1,1,2,3,2,3,3,4,1,2, , ,75,1,9, , ,1,1,1,2, ,1, , , , , , , , , , ,2,12,1,2,.8
8963,7,1,1,1, , ,2,2,1,20000, ,0, ,36000, ,1, , ,2, ,2,1,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,3,3,3,3,2,2,2,2,2,2,2,2,2,1,0,30,0,1,1,1,1,3,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,3,1,1,3,4,3,3,2,3,3,2,3,3,4,4,4,4,2,2,3,3,3,3,3,3,3,3,3,2,2,3,3,2,2,1,3,2,3,2,2,2,2,2,2,3,2,2, ,1,1, , ,1, , , ,3,1, , ,1, , ,1,4,4,2,1,3,3,3, , , , , , , , , , ,3,2,2,3,2,3,2,3,2,3,3,1,2, , ,67,2,4, ,1,3,1,2,1, ,2,5, , ,3, , ,6, , , ,4,10,2,2,.727272727272727
8967,7,2,2,1, , ,2,2,1,0, ,0, ,58000, , , , , , ,3,3,3,2,3,3,1,1,2,1,1,1,1,3,3,1,2,2,2,2,2,3,3,3,3,3,3,3,2,3,3,2,2,2,1,2,2,2,1,20,30,5,3,2,2,3,4,3,3,3,3,4,2,2,3,3,4,3,2,3,3,3,2,3,3,3,3,2,3,3,3,2,3,3,3,4,2,3,3,3,2,2,3,3,3,3,3,4,3,3,3,3,3,3,3,3,2,3,3,2,3,4,3,3,2,3,3,3,3,3,4,3,3,3,3,3,3,2,3,4,3,3,3,2,3,2,3,4,3,3,1,3,4,3,3,2,3,4,3,3,3,3,4, , , , , , , , , , , , , , , , ,1,1,1,1,1,1,1,1, , , , , , , , , , ,2,2,2,3,3,3,2,3,2,2,4,1, , , ,67,1,9, , ,3,1,1,2, ,2,2,1, , , , , , , , ,3,14,1,2,1
8968,7,1,2,2,2, ,2,2,1, ,1, ,1,30000, , , , ,1,1,1,1,3,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,1,1,3,3,3,1,1,1,1,1,3,2,2,2,2,1,2,1,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1, , , , , , , , , , , , , , , , ,1,3,2,1,1,1,1,1, , , , , , , , , , ,4,2,3,3,2,3,3,3,3,4,4,1, , , ,81,2,11, , ,1,1,2,2, ,2,2,1, , , , , , , , ,2,12,1,2,.793103448275862
8971,7,1,1,1, , ,1,1,1,28000, , ,1,68000, ,1,1,1,2,2,2,3,4,3,4,3,3,4,4,4,3,4,3,4,3,4,3,3,3,4,4,3,3,4,3,3,4,3,3,4,3,4,4,3,3,4,3,3,1,20,30,5,3,2,2,3,3,4,3,3,3,2,3,3,2,3,4,4,3,3,4,3,4,3,3,3,4,4,3,3,3,4,3,4,4,3,4,3,3,4,4,3,4,3,4,3,4,3,3,4,3,4,4,3,3,4,4,3,3,4,3,3,3,4,4,3,3,4,3,4,3,4,3,4,3,4,4,4,3,3,4,4,3,4,3,4,3,4,3,3,1,3,4,4,3,4,4,3,4,3,3,3,3,1,1,1,1,1,1,1,1,3,3,4,3,4,3,3,4,3,3,4,4,3,3,4,4, , , , , , , , , , ,3,3,3,4,4,3,4,3,4,3,2, ,2, , ,65,1,2, , ,4,1,1,2, ,2,3,1, ,3, , , , , , ,11,5,1,1,.555555555555556
8974,7,2,2,1, , ,2,2,1,0, ,0, ,45000, , , , , , ,3,3,3,3,2,3,1,1,1,1,1,1,1,3,3,2,2,2,3,3,2,3,3,3,3,1,3,3,3,3,3,3,2,2,1,2,2,2,1,5,30,15,3,3,2,2,3,3,3,2,3,3,3,3,2,3,3,4,3,3,3,2,2,2,3,3,2,3,3,3,3,3,3,3,3,3,4,3,3,3,3,2,3,3,3,3,3,4,3,3,3,3,4,3,3,3,4,4,3,3,3,4,4,4,3,3,3,3,3,3,4,3,3,3,3,3,3,3,4,4,3,3,3,2,3,4,3,4,3,3,1,3,2,2,3,4,4,2,3,2,3,4,3, , , , , , , , , , , , , , , , ,1,1,1,1,1,1,1,1, , , , , , , , , , ,3,3,2,2,2,2,3,3,2,2,3, ,2, , ,70,2,11, , ,2,1,2,2, ,1, , , , , , , , , , ,2,14,1,2,.705882352941177
8975,7,2,2,1, , ,2,2,1, ,1, ,1, ,1, , , ,1,1,1,3,3,3,3,1,1,1,1,1,1,1,1,1,3,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,30,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,3,3,3,3,3,3,1,1,1,4,3,3,3,2,2,2,3,3,3,3,3,3,3,3,1,3,3,3,3,3,2,2,1,1,1,2,1,1,1,1,1,1,2, ,1,1, , , , , , ,1,1, , , , , ,1,3,3,1,1,1,3,1,1, , ,3, ,5, , , , ,4,3,4,3,3,4,3,3,3,3,4,1, , , ,69,2,4, ,2,1,1,2,2, ,2,2,1, , , , , , , , ,3,12,1,2,.75
8980,7,2,2,1, , ,2,2,1,18000, ,0, ,56000, , , , ,2, ,3,2,4,4,1,1,1,1,1,1,1,1,1,3,3,2,3,3,2,2,2,2,4,2,2,4,4,4,4,2,2,2,2,2,2,2,2,2,1,0,30,0,1,1,1,1,3,2,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,2,1,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,1,4,2,2,3,3,3,3,4,3,3,2,3,3,3,3,3,3,2,2,2,3,3,3,3,3,3,3,3,2,3,3,3,2,2,1,3,2,3,3,3,2,3,3,2,3,2,2, ,1,1, , ,1, , , ,4,1, , ,1, , ,2,4,4,2,1,3,2,3, , , , , , , , , , ,3,2,2,2,3,3,2,3,2,2,3,1, , , ,63,2,11, , ,3,1,2,1, ,2,2,1, , , , , , , , ,3,10,2,2,.692307692307692
8986,7,2,2,1, , ,2,2,1, ,1, ,1,19000, , , , ,2,2,2,2,4,4,3,3,2,2,1,1,1,1,1,2,3,1,3,3,2,2,2,2,2,1,2,1,2,3,2,2,2,2,2,1,2,2,1,2,1,0,20,0,1,1,1,1,2,1,1,1,1,1,1,1,1,2,3,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,2,2,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,2,2,2,2,3,4,4,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,2,3,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,1,2,2,2, , , , , , , , , , , , , , , , ,3,2,2,2,2,2,2,2, , , , , , , , , , ,2,2,2,1,2,1,2,2,2,1,4,1, , , ,61,1,9, , ,3,1,1,2, ,2,2,1, , , , , , , , ,3,6,1,1,.636363636363636
8987,7,1,2,2,2, ,2,2,1,20000, ,0, ,46000, , , , ,2, ,3,3,2,2,1,1,2,2,2,2,2,2,2,4,4,4,4,4,3,2,2,3,4,2,2,4,4,4,4,2,2,2,3,2,2,2,2,2,1,30,30,0,1,1,4,1,4,2,2,1,1,1,1,2,2,1,4,2,1,1,1,1,1,1,1,4,3,3,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,2,1,4,2,1,4,4,4,2,4,3,3,3,3,3,4,4,3,3,2,2,2,3,3,3,3,3,3,3,3,1,3,3,3,2,2,1,3,3,2,2,2,2,2,3,3,2,2,2, ,1,1, , ,1, , , ,4,1, , ,2, , ,1,4,4,1,2,3,3,3, , , , , , , , , , ,3,3,3,2,2,4,3,3,3,3,3, ,2, , ,60,2,4, ,1,3,1,2,3, ,2,2,1, , , , , , , , ,3,10,2,2,.692307692307692
8989,7,2,2,1, , ,2,2,1, ,1, ,1, ,1,1,1,1,2,2,2,2,3,3,3,3,1,1,1,1,1,1,1,2,1,1,2,2,1,1,2,1,1,2,2,1,1,2,2,2,1,2,2,1,1,2,2,1,1,0,20,0,1,1,1,1,2,1,2,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,3,1,1,2,2,1,1,1,1,2,2,2,2,1,1,1,1,2,1,1,2,1,1,1,1,1,3,4,3,3,4,4,3,3,4,3,3,4,3,3,2,1,2,1,3,4,4,4,3,3,3,4,3,3,4,3,3,2,1,2,2,2,1,2,2,2,1,2,2,2, ,1, , , ,1, , , ,1, , , ,1, , ,2,3,3,2,3,2,3,3,1, ,2, , , , , , , ,3,4,3,4,4,3,3,3,4,4,4,1, , , ,71,2,11, , ,2,1,2,2, ,2,2,1, , , , , , , , ,3,5,1,1,.571428571428571
8991,7,1,1,1, , ,1,2,1,32800, ,0, ,66000, , , , ,3, ,3,3,3,4,3,3,1,1,1,1,1,1,1,2,3,3,2,3,3,2,3,4,3,3,2,3,3,3,3,3,3,3,3,3,4,3,3,3,1,5,30,0,3,3,2,2,3,3,3,3,3,3,2,2,2,3,4,2,2,2,3,3,2,2,2,2,3,3,2,2,3,3,3,2,3,2,3,3,3,3,2,2,3,3,3,3,3,2,2,2,3,3,3,2,3,3,2,3,3,3,3,3,3,2,3,3,4,3,3,3,3,2,3,3,3,2,2,3,4,3,3,2,3,3,3,3,3,2,3,3,1,2,3,3,2,2,2,3,3,2,3,3,2,1,1, , , , , , ,3,3, , , , , , ,3,3,1,1,1,1,1,1, , , , , , , , , , ,3,4,3,3,2,3,3,4,4,3,4, ,2, , ,56,1,5, ,2,3,1,1,2, ,2,4,1, ,3, , , , , , ,5,14,1,2,.769230769230769
8995,7,2,2,2,2, ,2,2,1, ,1, ,1,36000, , , , ,2,2,2,2,4,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,10,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,2,3,2,2,2,2,2,3,3,2,2,1,1,1,2,3,3,3,3,3,3,3,3,2,2,3,2,2,1,2,2,2,2,2,2,2,1,1,1,1,1, ,1, , , , , , , ,3, , , , , , ,1,4,4,1,1,3,2,2, , , , , , , , , , ,2,2,2,2,2,3,3,4,3,3,4,1, , , ,82,2,9, , ,1,1,2,1, ,2,2,1, , , , , , , , ,2,10,2,2,.72
8999,7,1,1,2,2, ,1,1,1, ,1, ,1, ,1, , , ,2,2,2,1,4,4,1,1,1,1,1,1,1,1,1,3,3,1,2,2,2,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,20,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,2,1,1,1,1,1,1,1,1,3,3,2,2,2,2,2,2,2,2,3,3,2,2,1,1,2,2,3,3,3,3,3,3,2,2,2,2,3,2,2,2,2,2,2,2,2,2,1,1,1,2,2,2, ,1, , , , , , , ,3, , , , , , ,1,4,3,1,1,1,1,1, , , , , , , , , , ,3,2,3,3,3,4,3,3,3,3,4,1, , , ,72,2,9, , ,2,1,1,1, ,2,4, , ,3, , ,6, , , ,5,10,2,2,.72
9001,7,2,2,1, , ,2,2,1, ,1, ,1, ,1,1,1,1,1,1,1,3,4,3,4,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,25,0,1,1,1,1,2,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,3,3,3,4,4,3,3,3,3,3,3,4,3,3,4,3,3,3,3,4,4,3,4,3,3,3,3,4,3,3,2,1,2,1,1,1,2,1,2,1,2,2,1, , , , , , , , , , , , , , , , ,3,3,3,3,4,3,3,3, , , , , , , , , , ,3,4,3,3,4,3,3,4,4,3,4,1, , , ,71,2,11, , ,1,1,2,2, ,2,2,1, , , , , , , , ,3,5,1,1,.571428571428571
9007,7,2,2,1, , ,2,2,1,0, ,0, ,30000, , , , , , ,2,1,2,1,4,1,1,1,1,1,1,1,1,2,2,1,3,3,1,1,2,2,2,1,1,2,2,2,2,2,1,1,2,1,1,2,2,1,1,0,30,0,1,1,1,1,3,1,4,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,2,2,2,1,2,1,1,1,2,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,3,3,4,2,2,2,2,2,3,2,3,2,2,2,2,2,2,3,2,2,3,2,3,3,3,2,3,2,2,2,2,2,2,2,2,1,2,2,2,3,3,3,2,2, , , , , , , , , , , , , , , , ,1,2,2,1,2,1,2,2, , , , , , , , , , ,2,3,2,3,2,2,2,3,2,2,4,1,2, , ,75,2,11, , ,2,1,2,3, ,1, , , , , , , , , , ,2,7,1,1,.388888888888889
9011,7,1,2,2,2, ,2,2,1, ,1, ,1,36000, , , , ,2,2,2,2,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,30,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,3,3,4,3,3,3,3,2,3,3,3,3,3,3,2,2,2,2,2,2,3,3,3,3,2,2,2,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2, ,1,1, , , , , , ,1,1, , , , , ,1,4,4,1,1,1,1,1,1,1, ,3, , , , , , ,3,3,3,3,4,3,4,4,4,4,3,1, , , ,76,1,14, , ,2,1,1,3, ,2,2,1, , , , , , , , ,2,10,2,2,.666666666666667
9012,7,1,2,2,2, ,2,2,1, ,1, ,1, ,1, , , ,1,1,1,2,3,2,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,3,4,3,3,3,4,3,3,3,2,3,2,2,2,2,3,2,3,4,4,3,4,3,3,4,3,4,3,3,4,2,2,1,1,2,2,2,1,2,1,1,2,2,1,1, ,1, , , , ,1,1, ,1, , , , ,3,4,3,3,3,4,3,4,1, ,2, ,4,5, , , , ,3,4,4,3,3,4,4,4,3,3,4,1,2, , ,79,1,14, , ,4,1,1,2, ,2,2,1, , , , , , , , ,4,5,1,1,.571428571428571
9017,7,2,1,2,2, ,1,2,1,18000, ,0, ,46000, , , , ,2, ,2,3,2,2,2,1,3,3,3,3,3,3,3,4,4,4,4,4,4,3,3,3,4,3,3,4,4,4,4,3,3,3,3,3,3,3,3,3,1,0,30,0,1,1,1,1,3,2,1,1,1,2,1,1,1,1,3,1,1,1,1,1,1,2,1,3,4,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,3,3,1,3,1,1,3,3,3,1,2,3,3,4,3,3,4,4,4,4,3,3,2,3,3,3,3,3,3,3,3,2,3,3,3,3,2,1,3,3,4,2,2,2,2,3,2,2,2,2, ,1,1,1, ,1, , , ,1,4,1, ,1, , ,2,4,4,3,2,3,3,3, , , , , , , , , , ,3,3,4,4,4,3,3,3,3,3,3, ,2, , ,57,1,3, , ,4,1,1,3, ,1, , , , , , , , , , ,4,10,2,2,.666666666666667
9020,7,2,2,1, , ,2,2,1, ,1, ,1, ,1, , , ,1,1,1,3,4,3,3,3,1,1,1,1,1,1,1,2,1,2,3,1,2,1,2,2,1,1,2,2,3,2,1,2,2,2,1,1,2,1,2,2,1,0,30,0,1,1,1,1,3,1,3,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,2,3,1,1,1,1,1,1,2,2,1,1,2,2,1,1,1,1,2,2,3,2,1,1,1,1,2,1,2,1,1,1,1,1,1,3,4,4,3,4,3,3,3,4,3,3,4,4,3,2,2,3,2,3,4,3,3,4,3,3,3,3,4,3,4,3,2,2,2,1,2,2,1,2,2,2,1,2,2, , , , , , , , , , , , , , , , ,3,4,4,3,3,4,3,3, , , , , , , , , , ,3,4,3,4,4,3,3,3,4,3,2,1, , , ,77,1,14, , ,3,1,1,2, ,2,2,1, , , , , , , , ,3,5,1,1,.571428571428571
9022,7,2,2,1, , ,2,2,1,0, ,11000, ,29000, , , , , ,2,2,2,3,3,3,3,2,2,2,2,2,2,2,3,3,2,2,2,2,3,2,2,2,2,2,3,3,3,3,2,2,2,2,2,2,2,2,2,1,0,20,0,1,1,1,1,2,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,3,3,2,2,2,1,1,2,2,1,1,2,2,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,2,2,2,2,2,3,3,2,2,2,2,2,1,2,1,2,1,1,1,2,1, , , , , , , , , , , , , , , , ,3,3,3,3,3,3,3,3, , , , , , , , , , ,2,2,2,1,2,1,2,2,1,1,4,1, , , ,61,2,11, , ,3,1,1,2, ,2,2, , ,3, , , , , , ,3,6,1,1,.636363636363636
9029,7,2,2,1, , ,2,2,1,0, ,0, ,33000, , , , , , ,3,1,4,2,3,1,2,2,2,3,2,2,2,2,3,2,3,3,3,2,2,2,2,2,2,1,3,2,2,2,1,1,2,2,2,2,2,2,1,0,18,0,1,1,1,1,2,1,3,1,1,1,1,1,1,3,4,1,1,1,1,1,1,1,1,3,2,1,1,1,1,1,2,2,2,2,2,2,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,3,3,3,3,2,2,2,3,3,2,2,2,2,2,2,2,2,2,1,1,3,3,1,1,1,1,1,2,1,1,2,2,2,1,1,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , ,3,3,2,2,3,3,3,3, , , , , , , , , , ,3,2,3,2,2,2,2,2,3,2,4,1,2, , ,76,2,11, , ,1,1,1,1, ,1, , , , , , , , , , ,1,5,1,1,.571428571428571
9031,7,1,2,2,2, ,1,1,1, ,1, ,1,48000, ,1, , ,2,2,3,3,2,1,2,1,3,2,2,2,2,2,2,3,3,3,4,4,2,2,3,3,4,2,2,4,4,4,4,3,3,2,2,2,2,2,2,2,1,20,30,5,1,1,3,2,3,3,3,1,3,2,1,1,1,3,4,3,1,1,1,1,1,3,2,4,4,4,1,1,1,2,1,3,1,3,1,3,1,1,1,1,1,1,1,1,3,3,3,3,1,1,1,3,2,1,3,2,2,3,3,3,3,3,4,4,4,3,3,4,4,3,3,3,3,4,3,3,3,3,3,3,2,3,1,2,3,3,2,2,1,3,3,3,2,3,2,3,2,3,3,3,3, ,1,1,1, ,1, , , ,4,4,2, ,1, , ,3,4,4,2,2,4,3,3, , , , , , , , , , ,4,4,4,4,4,4,4,4,3,3,3, ,2, , ,58,1,5, ,2,4,1,1,3, ,2,2,1, , , , , , , , ,5,10,2,2,.666666666666667
9034,7,1,2,1, , ,2,2,1,25000, ,0, ,35000, , , , ,2, ,3,3,2,2,2,2,2,2,3,2,2,1,1,3,3,3,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,0,20,0,1,1,1,1,3,2,2,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,3,3,2,3,3,2,3,3,3,2,2,3,3,2,2,3,3,2,3,2,3,3,2,3,3,2,3,3,2,2,3,2,3,3,2,2,3,3,3,2,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,3,4,3,3,4,3,3,1, , ,3,4, , , , , ,2,2,1,1,1,1,2,2,1,1,4,1, , , ,73,2,11, , ,3,1,2,2, ,2,2, , ,3, , , , , , ,2,6,1,1,.705882352941177
9040,7,1,1,1, , ,1,1,1,30000, , ,1,55000, ,1,1,1,2,2,2,4,3,4,3,4,3,4,3,4,3,4,3,3,4,3,3,4,4,3,3,4,3,4,4,3,3,3,3,4,4,4,3,3,4,3,4,3,1,20,30,10,3,2,3,3,3,4,3,3,3,3,2,3,3,3,3,4,3,3,3,3,3,4,3,4,3,3,4,3,3,4,3,3,4,3,4,3,3,4,3,4,3,3,4,4,4,3,3,4,4,3,3,4,3,4,3,4,4,3,3,4,3,3,4,4,3,4,3,4,4,3,3,3,3,3,3,3,3,3,4,4,3,3,4,4,3,3,4,3,1,3,3,4,4,3,4,4,3,4,3,3,3,1,1,1,1,1,1,1,1,3,4,4,4,4,4,3,3,3,4,4,4,4,3,4,3, , , , , , , , , , ,3,4,4,3,3,4,4,3,3,4,2, ,2, , ,61,1,14, , ,4,1,1,2, ,2,3,1, , ,4, , , , , ,11,5,1,1,.583333333333333
9044,7,2,2,1, , ,2,2,1, ,1, ,1, ,1,1,1,1,1,1,1,3,4,3,4,3,2,2,1,2,2,2,1,2,2,3,3,3,3,3,2,2,2,3,3,3,4,2,4,3,3,3,2,3,2,3,3,3,1,0,30,0,2,2,1,2,3,4,3,3,2,2,1,2,1,3,3,4,4,3,2,2,1,2,2,4,4,4,3,4,1,1,3,3,2,1,3,3,1,1,1,1,3,4,4,3,1,1,1,1,3,3,2,3,2,1,2,1,2,3,4,4,3,3,4,3,3,4,3,3,3,4,3,2,3,3,2,3,3,4,3,4,3,3,3,3,4,4,3,3,2,2,2,1,2,1,2,2,2,1,2,2,2, , , , , , , , , , , , , , , , ,4,3,3,4,4,3,3,4, , , , , , , , , , ,3,3,4,4,3,3,4,3,3,3,3, ,2, , ,65,2,5, ,1,3,1,2,2, ,2,2,1, , , , , , , , ,4,6,1,1,.5
